Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
Dominican Rep.,3294042,4503114,5809269,7183647,8562622,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998
Algeria,11124888,14550034,19337715,25912367,31183660,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142
East Asia & Pacific (excluding high income),893956327,1116105178,1359492990,1604526529,1815956211,1895491197,1910175419,1924328623,1938363936,1952308448,1966231608,1980303926,1994651365,2009173000,2023837097,2038410865,2053299126,2068308373
Early-demographic dividend,979287407,1247052966,1592673530,2031828081,2474600589,2691528375,2734859659,2778276175,2821797496,2865439651,2909410986,2953406021,2997066325,3040700765,3084236443,3127578757,3170657660,3213426923
East Asia & Pacific,1039944591,1289258962,1558178982,1821481246,2047150745,2131363078,2147029631,2162104019,2177421759,2192352319,2207154641,2221934584,2237082761,2252311022,2267745366,2283108073,2298726779,2314364990
Europe & Central Asia (excluding high income),274947938,314288628,349906056,385427446,392657969,393027492,393571334,394257705,395304586,397043992,399053204,401241932,403439691,405871230,408271623,410770813,413234935,415546194
Europe & Central Asia,667246384,737948178,793937090,842848473,862304086,872661616,875343235,878465990,881965815,885591814,889016507,891098854,894679968,898881448,903123160,907426233,911686319,915545801
Ecuador,4545550,6072527,7976445,10218091,12628596,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858
Egypt,26996533,35046273,44099142,57412215,69905988,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151
Euro area,265396502,287416205,302363486,311539698,321310787,329380413,330922791,332645166,334274730,335360887,336151474,335429120,336180504,337325526,338466271,339533474,340617355,341465149
Eritrea,1397491,1811878,2385540,3113311,3392801,3969007,4066648,4153332,4232636,4310334,4390840,4474690,,,,,,
Spain,30455000,33814531,37491165,38867322,40567864,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46572028
Estonia,1211537,1360076,1477219,1569174,1396985,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1315480
Ethiopia,22151278,28415077,35264898,48086516,66537331,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438
European Union,409498463,442062266,464392913,478005307,488178832,496115006,497973712,499916647,501808477,503317964,504421126,504015371,505117542,506621110,508193872,509717579,511218960,512461290
Fragile and conflict affected situations,119967877,153859672,202791782,259301889,337602457,383230416,392932365,402796842,412832401,423028631,433388814,443918286,454618893,465515402,476608101,487923553,499508468,511336623
Finland,4429634,4606307,4779535,4986431,5176209,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5511303
Fiji,393386,520529,635255,728628,811223,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502
France,46814237,52035095,55340782,58512808,60912500,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67118648
Faroe Islands,34661,39083,43514,47594,47258,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290
"Micronesia, Fed. Sts.",44537,61431,72964,96331,107432,106196,105684,105078,104478,103960,103616,103468,103503,103702,104015,104433,104937,105544
Gabon,499184,590118,729159,952212,1231122,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137
United Kingdom,52400000,55663250,56314216,57247586,58892514,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63700300,64128226,64613160,65128861,65595565,66022273
Georgia,3645600,4119900,4467700,4802000,4418300,4190000,4136000,4082000,4030000,3978000,3926000,3875000,3825000,3776000,3727000,3717100,3719300,3717100
Ghana,6652287,8596983,10802028,14628260,18938762,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629
Gibraltar,23394,28560,30272,29164,31180,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571
Guinea,3577409,4219770,4511902,6041094,8808546,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176
"Gambia, The",367928,447285,604369,916808,1231844,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568
